,C594
6014,568
6015,260
6016,286
6021,185
6023,1
6024,181
6025,235
6028,128
6029,541
6031,228
6034,443
6035,206
6037,27
6042,27
6044,239
6045,27
6046,242
6047,569
6049,1
6050,27
6052,205
6056,483
6060,570
6062,171
6064,445
6075,287
6081,385
6082,571
6084,572
6086,30
6087,30
6089,95
6092,1
6098,573
6102,227
6103,29
6104,181
6105,152
6106,103
6110,435
6111,311
6112,198
6114,196
6115,545
6118,471
6119,535
6120,48
6121,450
6123,71
6124,18
6125,53
6126,13
6127,423
6128,574
6129,328
6134,239
6137,188
6147,170
6149,297
6150,321
6151,353
6160,211
6167,17
6169,575
6172,103
6179,535
6183,49
6184,576
6186,338
6187,27
6194,48
6195,557
6196,53
6197,416
6198,1
6199,133
6202,359
6205,540
6206,377
6207,364
6210,56
6212,434
6213,309
6215,233
6216,73
6217,1
6220,187
6221,465
6225,249
6228,13
6229,27
6232,193
6238,459
6239,577
6243,25
6249,172
6252,321
6253,389
6254,110
6256,32
6261,78
6271,373
6272,544
6273,497
6282,393
6290,373
6292,128
6294,61
6305,301
6306,570
6308,41
6311,37
6314,441
6315,312
6321,139
6325,435
6330,343
6331,81
6333,213
6334,238
6338,43
6339,48
6343,356
6346,27
6347,265
6350,453
6352,29
6353,502
6359,16
6362,53
6365,176
6369,158
6370,473
6373,53
6374,44
6381,458
6382,220
6383,512
6385,220
6388,428
6391,27
6400,578
6404,578
6407,16
6411,280
6413,64
6425,274
6431,37
6432,56
6437,182
6439,27
6442,254
6443,18
6444,417
6445,61
6446,27
6447,27
6449,305
6450,318
6454,493
6456,18
6460,60
6468,48
6472,234
6473,558
6475,579
6476,16
6477,111
6481,110
6486,16
6487,133
6488,67
6492,501
6495,169
6496,107
6497,136
6499,285
6500,1
6505,51
6508,18
6510,580
6511,52
6516,48
6531,171
6536,581
6538,100
6539,1
6540,357
6541,27
6554,349
6555,81
6556,81
6558,379
6561,496
6562,133
6564,345
6565,345
6570,173
6571,95
6584,51
6587,508
6590,102
6593,63
6598,153
6601,155
6604,431
6605,27
6611,574
6613,48
6617,79
6619,359
6620,235
6621,361
6622,234
6625,21
6627,110
6628,100
6629,18
6630,512
6631,16
6632,16
6633,379
6635,37
6636,1
6637,433
6643,259
6645,325
6646,503
6647,149
6652,126
6654,440
6658,27
6661,60
6669,21
6670,486
6673,13
6674,296
6675,161
6676,300
6679,133
6681,537
6682,567
6683,441
6684,48
6686,538
6687,455
6691,546
6692,433
6695,19
6696,101
6697,542
6699,352
6700,295
6702,2
6703,2
6704,94
6713,60
6716,39
6717,156
6721,133
6725,132
6726,580
6727,27
6728,1
6736,1
6737,432
6740,432
6741,132
6746,132
6748,274
6750,1
6753,132
6755,1
6756,6
6757,582
6759,132
6762,132
6763,555
6764,390
6765,173
6767,444
6769,18
6772,525
6774,93
6776,501
6778,488
6779,548
6781,335
6782,377
6784,62
6785,4
6786,67
6788,84
6790,103
6791,186
6792,191
6793,425
6801,162
6803,113
6806,319
6807,239
6812,48
6815,32
6817,274
6819,97
6821,13
6823,488
6827,453
6828,1
6831,1
6833,120
6838,181
6840,432
6841,132
6842,90
6845,106
6848,1
6855,545
6858,477
6860,296
6865,582
6868,489
6869,48
6877,325
6878,181
6886,11
6887,40
6892,151
6893,340
6898,16
6901,527
6904,352
6906,480
6926,27
6928,237
6929,110
6931,110
6935,518
6936,583
6938,213
6940,563
6942,558
6945,534
6946,485
6948,37
6949,427
6957,564
6958,1
6959,32
6963,13
6964,27
6965,584
6969,246
6970,471
6974,27
6976,532
6977,452
6979,407
6980,236
6983,505
6992,27
6994,471
6996,171
6997,445
6998,27
6999,385
7000,48
